관광지명,주소,공공편익시설정보,주차가능수,소개,관리기관전화번호,위도,경도
임진각관광지,경기도 파주시 문산읍 임진각로 177,관리사무실+관광안내매표소1층+화장실3동+홍보관1층+상황실2층+오수처리장1층+기반시설(도로+광장+주차장),2091,,031-950-1871,37.8893177,126.740081
공릉관광지,경기도 파주시 조리읍 장곡로 218,관리사무소+화장실4동+도로+광장+주차장,350,,031-945-2250,37.7498111,126.8335655
송정관광지,경상남도 남해군 미조면 미송로 483,샤워탈의장/화장실(2동)+관리사무실(2동)+오수처리장+주차장,387,,055-860-8615,34.7231451,128.0249666566
예당국민관광지,충청남도 예산군 응봉면 예당관광로 161,관리사무소+화장실(6동)+주차장,185,,041-339-8282,36.63801252,126.799434
덕산온천관광단지,충청남도 예산군 덕산면 온천단지2로 11,관광안내소+화장실(2동)+주차장,350,,041-339-7303,36.69075649,126.659328
만리포 관광지,충청남도 태안군 소원면 만리포2길 190-3,106173.5,1760,,041-670-2770,,
심우장,서울특별시 성북구 성북로29길 24,화장실,0,,02-741-4693,37.5936268,126.9916662
길상사,서울특별시 성북구 선잠로5길 68(성북동),화장실,50,,02-3672-5945,37.59895542,126.9943663
한국가구박물관,서울특별시 성북구 대사관로121,화장실+라운지,35,,02-745-0181,37.60001178,126.9932084
성류굴 관광지,경상북도 울진군 근남면 성류굴로 202,"도로,주차장,광장,화장실,오수처리장",91,,054-789-5402,36.95884825,129.3794409
백암온천 관광지,경상북도 울진군 온정면 온천로 7,"도로,주차장,정류장,공원,녹지,소하천,온천공,소방시설,국유림관리소,배수지",501,,054-789-5480,36.72132775,129.343467
대광해수욕장,전라남도 신안군 임자면 대광해수욕장길 179,화장실(6동)+주차장(4개소)+취사장(5동)+관리사업소(1동),1000,,061-240-4049,35.1029127579,126.0725116633
반월호수,경기도 군포시 호수로 92,화장실,1,,031-392-3000,37.3245823842,126.8899642222
초막골 생태공원,경기도 군포시 초막골길 216,화장실,1,,031-392-3000,37.3541009709,126.9191416994
수리산 도립공원,경기도 군포시 속달로 347-4,화장실,1,,031-8008-8265,37.3479964585,126.9005247934
수리산 산림욕장,경기도 군포시 수리산로 6-2,화장실,1,,031-392-3000,37.3576152712,126.9236481004
철쭉동산,경기도 군포시 고산로 460,화장실,1,,031-392-3000,37.3556081320,126.9269137321
수리사,경기도 군포시 속달로 347-181,화장실,1,,031-438-1823,37.3544360665,126.8967938163
물누리체험관,경기도 군포시 호수로 170-85,화장실,1,,031-390-8688,37.3213650505,126.8996775289
누리천문대,경기도 군포시 대야2로 139,화장실,1,,031-504-7100,37.3302828307,126.9153443922
장흥관광지,경기도 양주시 장흥면 권율로 193,관광안내소+화장실+주차장,502,,031-8082-5664,37.73281632,126.9492504
송광사&벚꽃길,전라북도 완주군 소양면 송광수만로 255-16,주차장,40,,063-243-8091,35.885763,127.2417509
괴강,충청북도 괴산군 괴산읍 충민로검승3길 10,"도로, 주차장, 관리사무소, 이벤트광장",140,,043-830-3820,36.80676203,127.8252917
수옥정,"충청북도 괴산군 연풍면 수옥정길 174, 수옥정관광지관리사무소","주차장, 배수지, 공중화장실, 오수처리장, 관리사무소, 도로 및 광장",120,,043-830-2683,36.81361722,128.036232
무극전적국민관광지,충청북도 음성군 음성읍 생음대로 594,감우재전승기념관+화장실+주차장,15,,043-871-5930,36.95063812,127.646982
담양호국민관광지,전라남도 담양군 용면 월계리 149-67,"관리사무소, 공중화장실, 전망대, 정수장, 주차장, 도로등",500,,061-380-2793,35.403522,126.996118
죽녹원,전라남도 담양군 담양읍 죽녹원로 119,"관리사무소, 공중화장실, 전망대, 정자등",70,,061-380-2780,35.325384,126.9866176
삼례책마을,전라북도 완주군 삼례읍 삼례역로 68,"주차장, 카페, 무인서점",30,,063-290-2614,35.90745719,127.065756
메타세쿼이아랜드,전라남도 담양군 담양읍 학동리 578-4,"메타세쿼이아길 L=2.1km, 어린이프로방스, 영화세트장, 개구리생태공원, 에코허브센터, 호남기후변화체험관, 매표소 3개소, 검표소 6개소, 쉼터 2개소, 화장실 4개소등",2000,,061-380-3142,35.323386,127.001852
소쇄원,전라남도 담양군 가사문학면 소쇄원길 17,관리사무소(매표소),90,,061-380-2811,35.18433957,127.0121779
한국대나무박물관,전라남도 담양군 담양읍 죽향문화로 35,관리사무소(매표소),150,,061-380-2901,35.30934385,126.9764073
한국가사문학관,전라남도 담양군 가사문학면 가사문학로 877,"한옥형 본관, 매표소, 화장실 등",90,,061-380-2701,35.18796351,127.0054854
슬로시티삼지내마을,전라남도 담양군 창평면 돌담길 56-24,"관리사무소, 공중화장실",300,,061-380-3152,35.23525084,127.0178938
오색관광지,강원도 양양군 서면 가라피리 165,관리사무소+주차장+하수도시설+도로+취사장+공중화장실,1000,,033-670-2724,38.077641,128.510721
지경관광지,강원도 양양군 현남면 지리 5-1,주차장,1500,,033-670-2724,37.9277211,128.794439
설해원(양양국제공항),강원도 양양군 손양면 동호리 510-28,"주차장,경비실,직원숙소,",2500,,033-670-2724,38.0555560775,128.6641979295
그림책미술관,전라북도 완주군 삼례읍 삼례역로 48-1,주차장,5,,063-290-2614,35.90832046,127.068059
대한민국술테마박물관,전라북도 완주군 구이면 덕천전원길 232-58,관리사무소+화장실(5동)+주차장,40,,063-290-3854,35.72601868,127.136162
무궁화오토캠핑장,전라북도 완주군 고산면 고산휴양림로 89,"주차장, 화장실",100,,063-290-2762,35.97398132,127.2315513
놀토피아,전라북도 완주군 고산면 대아저수로 416,"주차장, 화장실",100,,070-4100-1100,35.98879491,127.261342
오성한옥마을,전라북도 완주군 소양면 오도길 73,"주차장, 숙박시설, 카페",100,,063-243-1022,35.90695186,127.2367573
완주전통문화체험장,전라북도 완주군 고산면 대아저수로 416,"주차장, 화장실",100,,070-4100-1100,35.98879491,127.261342
청소년전통문화체험관,전라북도 완주군 고산면 대아저수로 416,"주차장, 화장실",100,,070-4100-1100,35.98879491,127.261342
해인사,경상남도 합천군 가야면 해인사길 122,관리사무소,1,,055-934-3001,35.801504,128.0976255
